Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Ethereum,ETH,01-01-2018,782.5300293,742.0040283,755.757019,772.6409912,2595760128,74724233458
Ethereum,ETH,02-01-2018,914.8300171,772.3460083,772.3460083,884.4439697,5783349760,85552984077
Ethereum,ETH,03-01-2018,974.4710083,868.4509888,886,962.7199707,5093159936,93146829617
Ethereum,ETH,04-01-2018,1045.079956,946.0859985,961.7130127,980.9219971,6502859776,94924308783
Ethereum,ETH,05-01-2018,1075.390015,956.3250122,975.75,997.7199707,6683149824,96574936368
Ethereum,ETH,06-01-2018,1060.709961,994.6220093,995.1539917,1041.680054,4662219776,1.01E+11
Ethereum,ETH,07-01-2018,1153.170044,1043.01001,1043.01001,1153.170044,5569880064,1.12E+11
Ethereum,ETH,08-01-2018,1266.930054,1016.049988,1158.26001,1148.530029,8450970112,1.11E+11
Ethereum,ETH,09-01-2018,1320.97998,1145.48999,1146,1299.73999,7965459968,1.26E+11
Ethereum,ETH,10-01-2018,1417.380005,1226.599976,1300.339966,1255.819946,9214950400,1.22E+11
Ethereum,ETH,11-01-2018,1337.300049,1135.170044,1268.089966,1154.930054,7235899904,1.12E+11
Ethereum,ETH,12-01-2018,1296.040039,1120.089966,1158.290039,1273.199951,5222300160,1.23E+11
Ethereum,ETH,13-01-2018,1432.880005,1270.469971,1270.469971,1396.420044,5746760192,1.35E+11
Ethereum,ETH,14-01-2018,1400.560059,1286.209961,1397.47998,1366.77002,4841630208,1.33E+11
Ethereum,ETH,15-01-2018,1390.589966,1290.599976,1365.209961,1291.920044,4781100032,1.25E+11
Ethereum,ETH,16-01-2018,1292.630005,875.5449829,1292.630005,1053.689941,8405139968,1.02E+11
Ethereum,ETH,17-01-2018,1090.22998,780.9219971,1061.339966,1014.25,8545160192,98429091487
Ethereum,ETH,18-01-2018,1100.310059,967.7589722,1016.440002,1036.280029,5938319872,1.01E+11
Ethereum,ETH,19-01-2018,1093.219971,1003.710022,1028.819946,1039.099976,4084450048,1.01E+11
Ethereum,ETH,20-01-2018,1167.109985,1044.949951,1044.949951,1155.150024,3975190016,1.12E+11
Ethereum,ETH,21-01-2018,1155.680054,1021.5,1155.680054,1049.579956,3378089984,1.02E+11
Ethereum,ETH,22-01-2018,1089.099976,930.7410278,1055.349976,1003.26001,3810099968,97465684890
Ethereum,ETH,23-01-2018,1023.22998,920.539978,1004.169983,986.2290039,3556699904,95831359552
Ethereum,ETH,24-01-2018,1062.439941,965.8079834,987.4769897,1058.780029,3944039936,1.03E+11
Ethereum,ETH,25-01-2018,1104.660034,1034.73999,1063.219971,1056.030029,4050190080,1.03E+11
Ethereum,ETH,26-01-2018,1080.599976,996.7839966,1052.699951,1055.170044,3617690112,1.03E+11
Ethereum,ETH,27-01-2018,1121.97998,1042.119995,1055.75,1107.069946,3002870016,1.08E+11
Ethereum,ETH,28-01-2018,1257.77002,1111.780029,1111.780029,1246.01001,5372329984,1.21E+11
Ethereum,ETH,29-01-2018,1256.699951,1169.079956,1246.699951,1182.359985,3715079936,1.15E+11
Ethereum,ETH,30-01-2018,1184.630005,1058.969971,1184.130005,1071.130005,4107859968,1.04E+11
Ethereum,ETH,31-01-2018,1128.660034,1034.5,1071.089966,1118.310059,3757560064,1.09E+11
Ethereum,ETH,01-02-2018,1161.349976,984.8189697,1119.369995,1036.790039,5261680128,1.01E+11
Ethereum,ETH,02-02-2018,1035.77002,757.9799805,1035.77002,915.7849731,6713290240,89173962074
Ethereum,ETH,03-02-2018,991.9429932,847.6900024,919.2109985,964.0189819,3243480064,93890299032
Ethereum,ETH,04-02-2018,969.0319824,805.0640259,964.6669922,834.6820068,2997090048,81310521832
Ethereum,ETH,05-02-2018,856.6459961,644.598999,834.9580078,697.9509888,4269530112,68005284183
Ethereum,ETH,06-02-2018,796.4390259,574.4190063,707.7369995,793.1220093,6518269952,77294507868
Ethereum,ETH,07-02-2018,851.2000122,723.4329834,790.4279785,757.0679932,3896179968,73796288509
Ethereum,ETH,08-02-2018,845.0859985,755.8430176,755.8430176,817.8070068,3708189952,79733609806
Ethereum,ETH,09-02-2018,884.0040283,788.8339844,818.4799805,883.8649902,2495820032,86191922699
Ethereum,ETH,10-02-2018,917.4000244,825.5770264,882.46698,860.414978,2930530048,83922989198
Ethereum,ETH,11-02-2018,859.2880249,788.2219849,859.2880249,814.6599731,2486650112,79476512347
Ethereum,ETH,12-02-2018,875.9370117,817.5079956,817.5079956,868.7069702,2243450112,84767037716
Ethereum,ETH,13-02-2018,870.7089844,828.8369751,869.2930298,845.2579956,2081170048,82496189206
Ethereum,ETH,14-02-2018,926.4290161,844.2789917,844.2789917,923.5609741,2818370048,90157005929
Ethereum,ETH,15-02-2018,951.947998,911.1110229,923.7280273,936.9760132,2900100096,91485862822
Ethereum,ETH,16-02-2018,950.0050049,917.8480225,934.7860107,944.210022,2369449984,92211437654
Ethereum,ETH,17-02-2018,976.5949707,940.7540283,944.7479858,974.1149902,2525720064,95151956513
Ethereum,ETH,18-02-2018,982.9329834,915.4450073,973.348999,923.9210205,2567290112,90267805476
Ethereum,ETH,19-02-2018,957.7769775,921.5540161,921.6680298,943.8649902,2169019904,92235641556
Ethereum,ETH,20-02-2018,965.2650146,892.9539795,943.5670166,895.3709717,2545260032,87514997546
Ethereum,ETH,21-02-2018,912.375,830.5629883,894.1350098,849.9710083,2531729920,83095081059
Ethereum,ETH,22-02-2018,875.9260254,802.6680298,849.2620239,812.8449707,2150370048,79482140044
Ethereum,ETH,23-02-2018,886.3179932,794.7910156,811.585022,864.1890259,2334820096,84520567485
Ethereum,ETH,24-02-2018,879.5310059,818.5499878,861.5930176,840.5150146,1926579968,82222377928
Ethereum,ETH,25-02-2018,853.1459961,822.3809814,839.4589844,844.8099976,1646960000,82659602549
Ethereum,ETH,26-02-2018,880.3920288,842.3189697,845.2780151,869.3150024,2044480000,85074973200
Ethereum,ETH,27-02-2018,896.2589722,867.0969849,870.3649902,878.2650146,2053980032,85968788108
Ethereum,ETH,28-02-2018,890.1079712,855.1240234,877.934021,855.1989746,1963980032,83728564149
Ethereum,ETH,01-03-2018,880.302002,851.9199829,856.0120239,872.2000122,1868519936,85410827047
Ethereum,ETH,02-03-2018,876.3779907,852.4219971,871.7639771,856.8530273,1894419968,83925690001
Ethereum,ETH,03-03-2018,868.4539795,855.2069702,856.7109985,857.2249756,1699369984,83979651073
Ethereum,ETH,04-03-2018,867.9500122,840.2800293,856.1859741,866.6779785,1697939968,84923240778
Ethereum,ETH,05-03-2018,869.9199829,853.5200195,866.8460083,853.684021,1898489984,83667342992
Ethereum,ETH,06-03-2018,853.8170166,809.9310303,853.8170166,816.9509888,1943069952,80083929891
Ethereum,ETH,07-03-2018,825.6069946,726.5469971,816.2709961,752.8309937,2175419904,73813918307
Ethereum,ETH,08-03-2018,773.7670288,696.1690063,752.5700073,704.5960083,1891640064,69098851661
Ethereum,ETH,09-03-2018,729.1560059,648.1069946,702.1970215,728.9160156,2233019904,71498733754
Ethereum,ETH,10-03-2018,748.0310059,682.6950073,730.1599731,686.8900146,1532960000,67390487259
Ethereum,ETH,11-03-2018,735.8309937,668.1229858,685.3120117,723.3389893,1562680064,70981343639
Ethereum,ETH,12-03-2018,742.5139771,683.2680054,724.4060059,699.8309937,1764999936,68688764839
Ethereum,ETH,13-03-2018,713.7349854,682.3499756,698.1530151,690.8270264,1425959936,67819092121
Ethereum,ETH,14-03-2018,702.7839966,594.0999756,691.2189941,614.2910156,1810560000,60318025226
Ethereum,ETH,15-03-2018,620.6160278,579.5050049,614.8389893,611.3040161,1770460032,60037233577
Ethereum,ETH,16-03-2018,623.1680298,587.8619995,611.7780151,601.6660156,1417350016,59103031871
Ethereum,ETH,17-03-2018,609.151001,549.0960083,601.6779785,552.7789917,1267810048,54312035489
Ethereum,ETH,18-03-2018,551.6400146,460.0880127,551.6400146,538.6439819,2685499904,52934184182
Ethereum,ETH,19-03-2018,558.0999756,519.1229858,546.6259766,556.7260132,2046790016,54722473140
Ethereum,ETH,20-03-2018,567.0900269,521.2039795,556.7219849,557.1749878,1833680000,54777982164
Ethereum,ETH,21-03-2018,589.6069946,550.5720215,559.0999756,561.7319946,1781270016,55237391316
Ethereum,ETH,22-03-2018,577.565979,523.0889893,562.1030273,539.7020264,1523459968,53082150649
Ethereum,ETH,23-03-2018,540.4869995,512.1270142,539.8640137,539.6190186,1596349952,53084905906
Ethereum,ETH,24-03-2018,545.382019,526.0800171,542.5720215,526.4390259,1300009984,51799123912
Ethereum,ETH,25-03-2018,535.8209839,515.6589966,522.7030029,524.2869873,1151170048,51598047955
Ethereum,ETH,26-03-2018,526.3790283,470.4400024,524.2869873,489.9509888,1638880000,48228842327
Ethereum,ETH,27-03-2018,491.4590149,449.9710083,489.5899963,450.1159973,1617939968,44316774118
Ethereum,ETH,28-03-2018,466.2109985,444.8609924,450.2909851,446.2789917,1514179968,43948072321
Ethereum,ETH,29-03-2018,450.8129883,385.8129883,448.0750122,385.9679871,1970230016,38016727209
Ethereum,ETH,30-03-2018,409.9289856,368.6329956,385.9049988,394.644989,1878130048,38879465944
Ethereum,ETH,31-03-2018,418.4679871,392.9530029,395.0039978,396.4570007,1323920000,39066085342
Ethereum,ETH,01-04-2018,400.5280151,363.8049927,397.2539978,379.6069946,1256930048,37413407420
Ethereum,ETH,02-04-2018,395.17099,377.5929871,379.6990051,386.4249878,1102259968,38093277842
