Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
Bitcoin,BTC,01-01-2018,14112.2,13154.7,14112.2,13657.2,10291200000,2.29E+11
Bitcoin,BTC,02-01-2018,15444.6,13163.6,13625,14982.1,16846600192,2.51E+11
Bitcoin,BTC,03-01-2018,15572.8,14844.5,14978.2,15201,16871900160,2.55E+11
Bitcoin,BTC,04-01-2018,15739.7,14522.2,15270.7,15599.2,21783199744,2.62E+11
Bitcoin,BTC,05-01-2018,17705.2,15202.8,15477.2,17429.5,23840899072,2.93E+11
Bitcoin,BTC,06-01-2018,17712.4,16764.6,17462.1,17527,18314600448,2.94E+11
Bitcoin,BTC,07-01-2018,17579.6,16087.7,17527.3,16477.6,15866000384,2.77E+11
Bitcoin,BTC,08-01-2018,16537.9,14208.2,16476.2,15170.1,18413899776,2.55E+11
Bitcoin,BTC,09-01-2018,15497.5,14424,15123.7,14595.4,16659999744,2.45E+11
Bitcoin,BTC,10-01-2018,14973.3,13691.2,14588.5,14973.3,18500800512,2.51E+11
Bitcoin,BTC,11-01-2018,15018.8,13105.9,14968.2,13405.8,16534099968,2.25E+11
Bitcoin,BTC,12-01-2018,14229.9,13158.1,13453.9,13980.6,12065699840,2.35E+11
Bitcoin,BTC,13-01-2018,14659.5,13952.4,13952.4,14360.2,12763599872,2.41E+11
Bitcoin,BTC,14-01-2018,14511.8,13268,14370.8,13772,11084099584,2.31E+11
Bitcoin,BTC,15-01-2018,14445.5,13641.7,13767.3,13819.8,12750799872,2.32E+11
Bitcoin,BTC,16-01-2018,13843.1,10194.9,13836.1,11490.5,18853799936,1.93E+11
Bitcoin,BTC,17-01-2018,11678,9402.3,11431.1,11188.6,18830600192,1.88E+11
Bitcoin,BTC,18-01-2018,12107.3,10942.5,11198.8,11474.9,15020399616,1.93E+11
Bitcoin,BTC,19-01-2018,11992.8,11172.1,11429.8,11607.4,10740400128,1.95E+11
Bitcoin,BTC,20-01-2018,13103,11656.2,11656.2,12899.2,11801700352,2.17E+11
Bitcoin,BTC,21-01-2018,12895.9,11288.2,12889.2,11600.1,9935179776,1.95E+11
Bitcoin,BTC,22-01-2018,11966.4,10240.2,11633.1,10931.4,10537400320,1.84E+11
Bitcoin,BTC,23-01-2018,11377.6,10129.7,10944.5,10868.4,9660609536,1.83E+11
Bitcoin,BTC,24-01-2018,11501.4,10639.8,10903.4,11359.4,9940989952,1.91E+11
Bitcoin,BTC,25-01-2018,11785.7,11057.4,11421.7,11259.4,8873169920,1.89E+11
Bitcoin,BTC,26-01-2018,11656.7,10470.3,11256,11171.4,9746199552,1.88E+11
Bitcoin,BTC,27-01-2018,11614.9,10989.2,11174.9,11440.7,7583269888,1.93E+11
Bitcoin,BTC,28-01-2018,12040.3,11475.3,11475.3,11786.3,8350360064,1.98E+11
Bitcoin,BTC,29-01-2018,11875.6,11179.2,11755.5,11296.4,7107359744,1.90E+11
Bitcoin,BTC,30-01-2018,11307.2,10036.2,11306.8,10106.3,8637859840,1.70E+11
Bitcoin,BTC,31-01-2018,10381.6,9777.4,10108.2,10221.1,8041160192,1.72E+11
Bitcoin,BTC,01-02-2018,10288.8,8812.3,10237.3,9170.5,9959400448,1.54E+11
Bitcoin,BTC,02-02-2018,9142.3,7796.5,9142.3,8830.8,12726899712,1.49E+11
Bitcoin,BTC,03-02-2018,9430.8,8251.6,8852.1,9174.9,7263790080,1.55E+11
Bitcoin,BTC,04-02-2018,9334.9,8031.2,9175.7,8277,7073549824,1.39E+11
Bitcoin,BTC,05-02-2018,8364.8,6756.7,8270.5,6955.3,9285289984,1.17E+11
Bitcoin,BTC,06-02-2018,7850.7,6048.3,7051.8,7754,13999800320,1.31E+11
Bitcoin,BTC,07-02-2018,8509.1,7236.8,7755.5,7621.3,9169280000,1.28E+11
Bitcoin,BTC,08-02-2018,8558.8,7637.9,7637.9,8265.6,9346750464,1.39E+11
Bitcoin,BTC,09-02-2018,8737,7884.7,8271.8,8737,6784820224,1.47E+11
Bitcoin,BTC,10-02-2018,9122.5,8295.5,8720.1,8621.9,7780960256,1.45E+11
Bitcoin,BTC,11-02-2018,8616.1,7931.1,8616.1,8130,6122189824,1.37E+11
Bitcoin,BTC,12-02-2018,8985.9,8141.4,8141.4,8926.6,6256439808,1.51E+11
Bitcoin,BTC,13-02-2018,8958.5,8455.4,8926.7,8598.3,5696719872,1.45E+11
Bitcoin,BTC,14-02-2018,9518.5,8599.9,8599.9,9494.6,7909819904,1.60E+11
Bitcoin,BTC,15-02-2018,10234.8,9395.6,9488.3,10166.4,9062540288,1.71E+11
Bitcoin,BTC,16-02-2018,10324.1,9824.8,10135.7,10233.9,7296159744,1.73E+11
Bitcoin,BTC,17-02-2018,11139.5,10149.4,10207.5,11112.7,8660880384,1.87E+11
Bitcoin,BTC,18-02-2018,11349.8,10326,11123.4,10551.8,8744009728,1.78E+11
Bitcoin,BTC,19-02-2018,11273.8,10513.2,10552.6,11225.3,7652089856,1.89E+11
Bitcoin,BTC,20-02-2018,11958.5,11231.8,11231.8,11403.7,9926540288,1.92E+11
Bitcoin,BTC,21-02-2018,11418.5,10479.1,11372.2,10690.4,9405339648,1.80E+11
Bitcoin,BTC,22-02-2018,11039.1,9939.1,10660.4,10005,8040079872,1.69E+11
Bitcoin,BTC,23-02-2018,10487.3,9734.6,9937.1,10301.1,7739500032,1.74E+11
Bitcoin,BTC,24-02-2018,10597.2,9547,10287.7,9813.1,6917929984,1.66E+11
Bitcoin,BTC,25-02-2018,9923.2,9407.1,9796.4,9664.7,5706939904,1.63E+11
Bitcoin,BTC,26-02-2018,10475,9501.7,9669.4,10366.7,7287690240,1.75E+11
Bitcoin,BTC,27-02-2018,10878.5,10246.1,10393.9,10725.6,6966179840,1.81E+11
Bitcoin,BTC,28-02-2018,11089.8,10393.1,10687.2,10397.9,6936189952,1.76E+11
Bitcoin,BTC,01-03-2018,11052.3,10352.7,10385,10951,7317279744,1.85E+11
Bitcoin,BTC,02-03-2018,11189,10850.1,10977.4,11086.4,7620590080,1.87E+11
Bitcoin,BTC,03-03-2018,11528.2,11002.4,11101.9,11489.7,6690570240,1.94E+11
Bitcoin,BTC,04-03-2018,11512.6,11136.1,11497.4,11512.6,6084149760,1.95E+11
Bitcoin,BTC,05-03-2018,11704.1,11443.9,11532.4,11573.3,6468539904,1.96E+11
Bitcoin,BTC,06-03-2018,11500.1,10694.3,11500.1,10779.9,6832169984,1.82E+11
Bitcoin,BTC,07-03-2018,10929.5,9692.1,10803.9,9965.6,8797910016,1.68E+11
Bitcoin,BTC,08-03-2018,10147.4,9335.9,9951.4,9395,7186089984,1.59E+11
